1,2,3,4,5,6,7,8
為,行為,無為,自分に為に,雨の為に,為銀,外為,不全を為す
乗,乗用車,乗客,乗務員,同乗する,便乗する,乗車する,乗降
乗,乗り組員,乗り入れ,乗り換え,乗っ取る,乗り物,乗り込む,乗り気
重,重油,体重,荷重,重態,重要,重点,珍重する
重,重重,重版,重い,重さ,重ね,積み重ねる,重ねて
飛,飛行,飛行機,飛行場,飛ぶ,飛び込む,飛び上がる,飛ばす
東,東方,東南,東亜,東部,関東,東京,東側
事,事物,事実,返事,房事,火事,家事,無事に
事,記事,食事,事件,事故,事態,関心事,事務
事,事業,用事,軍事,工事,知事,人事,理事
垂,懸垂,垂線,垂れる,雨垂れ,垂らす,垂れ,胡麻垂れ
雨,雨量,雨期,降雨,豪雨,梅雨,風雨,雨戸
雨,雨水,雨雲,雨曇り,雨具,大雨,小雨,時雨
