①,②,③,④,⑤,⑥,⑦,⑧,⑨,⑩
人,一,学,月,百,休,間,時,川,東
日,大,何,来,西,長,気,十,聞,語
年,出,話,山,千,下,女,三,九,円
本,中,高,今,右,母,前,入,電,父
子,見,書,五,左,半,八,水,天,木
国,上,名,金,火,毎,土,北,読,車
分,生,男,外,雨,小,校,友,南,食
行,二,四,先,午,後,六,万,白,七
