Script
この搭乗券の席はどちらにありますか
搭乗券を拝見してもよろしいでしょうか
荷物を棚に入れてくれませんか
すみません、ここは私の席です
他の席に移ってもいいですか
すみません、毛布もう一枚もらえますか
新聞がありますか
どうやってシートを倒すのですか
リモコンの使い方を知りたいのですが
イヤホンの調子が悪いのですが
違うものと交換していただけませんか
すみません、お水もらえますか
はい、すぐにお持ちいたします
入国カードの書き方を教えてもらえますか
税関申告書の用紙をください
ペンをお借りできますか
お食事は何なさいますか
日本の食事は和食と洋食のご用意があります
和食のメインは魚、洋食のメインは通り肉です
お食事はお済みでしょうか
お飲み物はいかがですか
紅茶はいかがですか
どんなジュースがありますか
ジュースはオレンジジュース、アップルジュースとトマトジュースがあります
コーラをください
赤ワインをお願いします
いいえ、結構です
コーヒーをいただけますか
砂糖とミルク入りますか
はい、両方お願いします
お暑いのでお気をつけください
