Verbs,Meaning
めす【召す】,"to call, to send for, to put on, to wear, to take (a bath), to ride in, to buy, to eat, to drink"
よす【止す】,"to cease, to abolish, to resign, to give up "
うつ【打つ】,to hit
うつ【撃つ】,"to attack, to defeat, to destroy "
うつ【討つ】,"to attack, to avenge"
かつ【勝つ】,to win
たつ【立つ】,to stand
たつ【経つ】,"to pass, to lapse"
たつ【建つ】,"to erect, to be erected, to be built "
たつ【発つ】,"to depart (on a plane, train, etc.) "
たつ【絶つ】,"to sever, to cut off, to suppress, to abstain (from) "
ぶつ【打つ】,"to hit, to strike"
まつ【待つ】,to wait
もつ【持つ】,to hold
しぬ【死ぬ】,to die
とぶ【飛ぶ】,"to fly, to hop"
とぶ【跳ぶ】,"to jump, to fly, to leap"
よぶ【呼ぶ】,"to call out, to invite"
あむ【編む】,to knit
うむ【産む】,"to give birth, to deliver, to produce "
かむ【噛む】,"to bite, to chew"
くむ【組む】,to put together
くむ【汲む】,"(1) to draw (water), to dip, to scoop, to pump"
くむ【酌む】,to serve sake
こむ【込む】,to include
こむ【混む】,to be crowded
すむ【住む】,to live in
すむ【済む】,to finish
すむ【澄む】,"to clear (e.g. weather), to become transparent"
つむ【積む】,"to pile up, to stack"
とむ【富む】,"to be rich, to become rich"
のむ【飲む】,to drink
ふむ【踏む】,to step on
もむ【揉む】,"to rub, to crumple (up), to wrinkle "
やむ【止む】,to stop
やむ【病む】,"to fall ill, to be ill"
よむ【読む】,to read
ある【有る】,"to be, to have(used for inanimate objects)"
ある【在る】,"to live, to be"
いる【居る】,"to be, to have (used for people and animals)"
いる【要る】,to need
いる【煎る】,"to parch, to fry"
いる【炒る】,"to roast, to parch, to toast, to boil down​"
いる【入る】,"to get in, to go in, to come in, to flow into, to set, to set in "
うる【売る】,to sell
うる【得る】,"to get, to gain, to win"
える【得る】,"to get, to gain, to win"
おる【折る】,to break or to fold
おる【居る】,"to be (animate), to be, to exist "
おる【織る】,to weave
かる【刈る】,"to cut (hair), to mow (grass), to harvest"
きる【切る】,to cut
きる【着る】,to put on from the shoulders down 
くる【来る】,to come
ける【蹴る】,to kick
さる【去る】,"to leave, to go away"
しる【知る】,to know
する【為る】,to do
なす【為す】,to print
する【剃る】,to shave
そる【剃る】,to shave
ちる【散る】,"to fall, to scatter (e.g.blossoms)"
つる【釣る】,to fish
つる【吊る】,to hang
てる【照る】,to shine
