Phrase,Reading,Meaning
漬ける,つける,to soak (in); to steep; to dip; to dunk; to pickle; to preserve
浸す,ひたす,to soak; to dip; to steep; to immerse; to moisten; to wet
濡らす,ぬらす,to wet; to moisten; to dampen; to soak; to dip
染みる,しみる,to pierce; to penetrate; to soak in; to permeate​
