Script ,Translation
ちょっとの時間なら木曜日の放課後に会えるよ,
点線に沿って紙を折る,
細かなほこりが 空中に浮いている,
ちょっとの時間なら木曜日の放課後に会えるよ,
春が来ると木の花が咲きます,
