Orig,Reading,Verbs,Meaning
どく【退く】,どく,退く,"(1) to retreat, to recede, to withdraw "
とぐ【研ぐ】,とぐ,研ぐ,"to sharpen, to grind, to scour, to hone, to polish, to wash(rice) "
なく【泣く】,なく,泣く,"to weep, to cry"
ぬく【抜く】,ぬく,抜く,"to extract, to omit, to surpass, to draw out, to unplug "
ぬぐ【脱ぐ】,ぬぐ,脱ぐ,to take off clothes
はく【履く】,はく,履く,"to wear, to put on (lower body) "
はく【吐く】,はく,吐く,"(1) to breathe out, to breathe (2) to tell (lies) (3) to vomit, to disgorge "
はく【掃く】,はく,掃く,"to sweep, to brush, to gather up "
はぐ【剥ぐ】,はぐ,剥ぐ,"to tear off, to peel off, to rip off, to strip off, to skin, to flay, to disrobe, to deprive of "
ひく【引く】,ひく,引く,to pull
ひく【弾く】,ひく,弾く,"to play an instrument with strings, including piano "
ひく【轢く】,ひく,轢く,"to run somebody over (with vehicle), to knock someone down "
ふく【吹く】,ふく,吹く,to blow
ふく【拭く】,ふく,拭く,"to wipe, to dry"
まく【巻く】,まく,巻く,"to wind, to coil, to roll"
まく【蒔く】,まく,蒔く,to sow (seeds)
まく【撒く】,まく,撒く,"to scatter, to sprinkle, to sow "
むく【向く】,むく,向く,to face
むく【剥く】,むく,剥く,"to peel, to skin, to pare, to hull "
やく【焼く】,やく,焼く,"to bake, to grill"
ゆく【行く】,ゆく,行く,to go
わく【沸く】,わく,沸く,"to boil, to grow hot, to get excited "
わく【湧く】,わく,湧く,"to boil, to grow hot, to get excited, to gush forth "
おす【押す】,おす,押す,"to push, to stamp something "
かす【貸す】,かす,貸す,to lend
けす【消す】,けす,消す,"to erase, to turn off power"
こす【越す】,こす,越す,"to go over (e.g. with audience), to cross over (e.g. mountain), to pass time (e.g. a winter)"
こす【超す】,こす,超す,"to cross, to pass, to tide over, to surpass"
さす【差す】,さす,差す,"to stretch out hands, to raise an umbrella"
さす【指す】,さす,指す,"to point, to nominate, to select someone, to identify, to indicate, to play a game, to move a piece"
さす【刺す】,さす,刺す,"to pierce, to stab, to prick, to thrust "
さす【挿す】,さす,挿す,"to insert, to put in, to graft, to wear in belt "
さす【注す】,さす,注す,"to pour (drink), to serve (drinks) "
さす【射す】,さす,射す,"to shine, to strike"
たす【足す】,たす,足す,"to add numbers, to add something, to top up with something"
