Orig,Reading,Verbs,Meaning
おこる【怒る】,おこる,怒る,"to get angry, to be angry "
のこる【残る】,のこる,残る,to remain
ほこる【誇る】,ほこる,誇る,"to boast of, to be proud of"
おごる【傲る】,おごる,傲る,to be proud
こごる【凝る】,こごる,凝る,"to congeal, to freeze"
にごる【濁る】,にごる,濁る,"to become muddy, to get impure "
くさる【腐る】,くさる,腐る,"to rot, to go bad"
まさる【勝る】,まさる,勝る,"to excel, to surpass, to outrival "
かざる【飾る】,かざる,飾る,to decorate
はしる【走る】,はしる,走る,to run
むしる【毟る】,むしる,毟る,"to pluck, to pick, to tear "
いじる【弄る】,いじる,弄る,"to touch, to tamper with"
かじる【噛る】,かじる,噛る,"to chew, to bite (at), to gnaw, to nibble, to munch, to crunch"
なじる【詰る】,なじる,詰る,"to rebuke, to scold, to tell off"
ねじる【捩る】,ねじる,捩る,to twist
かする【擦る】,かする,擦る,"to touch lightly, to take a percentage (from)"
こする【擦る】,こする,擦る,"to rub, to chafe, to file, to frost (glass), to strike (match)"
けずる【削る】,けずる,削る,"to cut down little by little, to take percentage"
ゆずる【譲る】,ゆずる,譲る,"to turn over, to assign, to hand over"
あせる【焦る】,あせる,焦る,"to be in a hurry, to be impatient"
いたる【至る】,いたる,至る,"to come, to arrive"
かたる【語る】,かたる,語る,"to talk, to tell, to recite"
きたる【来る】,きたる,来る,"to come, to arrive, to due to, to be next, to be forthcoming"
わたる【渡る】,わたる,渡る,to go across
くだる【下る】,くだる,下る,"to get down, to descend"
うつる【移る】,うつる,移る,to move house or transfer
うつる【写る】,うつる,写る,"to be photographed, to be projected"
うつる【映る】,うつる,映る,"to be reflected, to harmonise with, to come out (photo)"
まつる【祭る】,まつる,祭る,"to deify, to enshrine"
おとる【劣る】,おとる,劣る,"to fall behind, to be inferior to"
さとる【悟る】,さとる,悟る,"to attain enlightenment, to perceive, to understand, to discern"
ふとる【太る】,ふとる,太る,to become fat
おどる【踊る】,おどる,踊る,to dance
たどる【辿る】,たどる,辿る,"to follow (road), to pursue (course), to follow up"
もどる【戻る】,もどる,戻る,to turn back
うなる【唸る】,うなる,唸る,"to groan, to moan, to roar, to howl, to growl, to hum, to buzz, to sough "
つねる【抓る】,つねる,抓る,to pinch
ひねる【捻る】,ひねる,捻る,"to turn (a switch) on or off, to twist, to puzzle over"
いのる【祈る】,いのる,祈る,to pray
つのる【募る】,つのる,募る,"to invite, to solicit help participation etc "
みのる【実る】,みのる,実る,"to bear fruit, to ripen"
くばる【配る】,くばる,配る,"to distribute, to deliver"
しばる【縛る】,しばる,縛る,"to tie, to bind"
ねばる【粘る】,ねばる,粘る,"to be sticky, to be adhesive, to persevere, to persist, to stick to "
あぶる【炙る】,あぶる,炙る,to scorch
かぶる【被る】,かぶる,被る,"to put on , wear, cover (one’s) head"
つぶる【瞑る】,つぶる,瞑る,to close the eyes
やぶる【破る】,やぶる,破る,"o tear, to violate, to defeat, to smash, to destroy"
すべる【滑る】,すべる,滑る,"to slide, to slip"
しぼる【絞る】,しぼる,絞る,"to press, to wring, to squeeze "
のぼる【登る】,のぼる,登る,to climb
のぼる【昇る】,のぼる,昇る,"to arise, to ascend, to go up"
のぼる【上る】,のぼる,上る,"to ascend, to go up, to climb"
あまる【余る】,あまる,余る,"to remain, to be left over, to be in excess, to be too many"
こまる【困る】,こまる,困る,to be worried
せまる【迫る】,せまる,迫る,"to draw near, to press"
だまる【黙る】,だまる,黙る,to be silent
なまる【鈍る】,なまる,鈍る,"to become less capable, to grow dull, to become blunt, to weaken"
けむる【煙る】,けむる,煙る,to smoke (e.g. fire)
ねむる【眠る】,ねむる,眠る,to sleep
しめる【湿る】,しめる,湿る,"to be wet, to become wet, to be dump"
こもる【篭る】,こもる,篭る,"to seclude oneself, to be confined in, to be implied, to be stuffy"
まもる【守る】,まもる,守る,"to protect, to obey, to guard, to abide (by the rules)"
くもる【曇る】,くもる,曇る,"to become cloudy, to become dim"
たよる【頼る】,たよる,頼る,"to rely on, to have recourse to, to depend on "
さわる【触る】,さわる,触る,to touch
さわる【障る】,さわる,障る,"to hinder, to interfere with, to affect, to do one harm, to be harmful to"
すわる【座る】,すわる,座る,to sit
まわる【回る】,まわる,回る,to go around
よわる【弱る】 ,よわる,弱る,"to weaken, to be troubled, to be downcast, to be emaciated, to be dejected, to be perplexed, to impair"
すれちがう【すれ違う】,すれちがう,すれ違う,"to pass by one another, to disagree, to miss each other"
あざわらう【あざ笑う】,あざわらう,あざ笑う,"to sneer at, to ridicule "
うるおう【潤う】,うるおう,潤う,"to be moist, to be damp, to get wet, to profit by, to be watered, to receive benefits, to favor, to charm "
たたかう【戦う】,たたかう,戦う,"to fight, to battle, to combat"
あつかう【扱う】,あつかう,扱う,"to handle, to deal with, to treat"
うたがう【疑う】,うたがう,疑う,"to doubt, to distrust, to be suspicious of, to suspect "
したがう【従う】,したがう,従う,"o abide (by the rules), to obey, to follow, to accompany"
あらそう【争う】,あらそう,争う,"to dispute, to argue, to be at variance, to compete"
まかなう【賄う】,まかなう,賄う,"to give board to, to provide meals, to pay"
おぎなう【補う】,おぎなう,補う,to compensate for
おこなう【行う】,おこなう,行う,to do
うしなう【失う】,うしなう,失う,"to lose, to part with"
やしなう【養う】,やしなう,養う,"to rear, to maintain, to cultivate"
ともなう【伴う】,ともなう,伴う,"to accompany, to bring with, to be accompanied by, to be involved in"
うらなう【占う】,うらなう,占う,"to forecast, to predict"
ととのう【整う】,ととのう,整う,"to be prepared, to be in order, to be put in order, to be arranged"
うやまう【敬う】,うやまう,敬う,"to show respect, to honour"
ただよう【漂う】,ただよう,漂う,"to drift about, to float, to hang in air"
つくろう【繕う】,つくろう,繕う,"to mend, to repair, to fix, to patch up, to darn, to tidy up, to adjust, to trim "
つまずく【躓く】,つまずく,躓く,"to stumble, to trip"
しりぞく【退く】,しりぞく,退く,"to retreat, to recede, to withdraw"
いただく【頂く】,いただく,頂く,"to receive, to take food or drink"
つらぬく【貫く】,つらぬく,貫く,to go through
みちびく【導く】,みちびく,導く,"to be guided, to be shown"
かたぶく【傾く】,かたぶく,傾く,"to incline toward, to slant, to lurch, to heel over, to be disposed to, to trend toward, to be prone to"
あざむく【欺く】,あざむく,欺く,to deceive
おもむく【赴く】,おもむく,赴く,"to go, to proceed, to repair to, to become"
かたむく【傾く】,かたむく,傾く,"to incline toward, to slant, to lurch "
かがやく【輝く】,かがやく,輝く,"to shine, to glitter, to sparkle"
ささやく【囁く】,ささやく,囁く,"to whisper, to murmur "
つぶやく【呟く】,つぶやく,呟く,"to mutter, to murmur"
はたらく【働く】,はたらく,働く,to work
おどろく【驚く】,おどろく,驚く,to be surprised
もよおす【催す】,もよおす,催す,"to hold (a meeting), to give (a dinner), to feel, to show signs of, to develop symptoms of, to feel (sick)"
うながす【促す】,うながす,促す,"to urge, to press, to suggest, to demand, to stimulate, to quicken, to incite, to invite (attention to)"
ほどこす【施す】,ほどこす,施す,"to donate, to give, to conduct, to apply, to perform"
あらわす【表す】,あらわす,表す,"to express, to show, to reveal"
あらわす【現す】,あらわす,現す,"to show, to indicate, to display"
あらわす【著す】,あらわす,著す,"to write, to publish"
たがやす【耕す】,たがやす,耕す,"to till, to plow, to cultivate "
たのしむ【楽む】,たのしむ,楽む,to enjoy oneself 
つつしむ【慎む】,つつしむ,慎む,"to be careful, to be chaste or discreet, to abstain or refrain"
いとなむ【営む】,いとなむ,営む,"to carry on (e.g. in ceremony), to run a business"
うらやむ【羨む】,うらやむ,羨む,to envy
よろこぶ【喜ぶ】,よろこぶ,喜ぶ,to be delighted
たっとぶ【尊ぶ】,たっとぶ,尊ぶ,"to value, to prize, to esteem"
さえぎる【遮る】,さえぎる,遮る,"to interrupt, to intercept, to obstruct"
ののしる【罵る】,ののしる,罵る,"to speak ill of, to abuse"
さえずる【囀る】,さえずる,囀る,"to sing, to chirp, to twitter"
おこたる【怠る】,おこたる,怠る,"to neglect, to be off guard, to be feeling better"
あやつる【操る】,あやつる,操る,"to manipulate, to operate, to pull strings"
はかどる【捗る】,はかどる,捗る,"to make progress, to move right ahead (with the work), to advance"
しゃべる【喋る】,しゃべる,喋る,"to talk, to chat, to chatter "
あやまる【謝る】,あやまる,謝る,to apologize
あやまる【誤る】,あやまる,誤る,to make a mistake
ほうむる【葬る】,ほうむる,葬る,"to bury, to inter, to entomb, to consign to oblivion, to shelve "
かたよる【偏る】,かたよる,偏る,"to be one-sided, to incline, to be partial, to be prejudiced, to lean, to be biased"
いたわる【労る】,いたわる,労る,"to pity, to sympathize with, to console, to care for, to be kind to"
ことわる【断る】,ことわる,断る,"to refuse, to decline, to dismiss"
たまわる【賜る】,たまわる,賜る,"to grant, to bestow"
くつがえす【覆す】,くつがえす,覆す,"to overturn, to upset, to overthrow, to undermine"
こころざす【志す】,こころざす,志す,"to plan, to intend, to aspire to, to set aims (sights on)"
よみがえる【蘇る】,よみがえる,蘇る,"to be resurrected, to be revived, to be resuscitated, to be rehabilitated"
とどこおる【滞る】,とどこおる,滞る,"to stagnate, to be delayed"
へりくだる【謙る】,へりくだる,謙る,to deprecate oneself and praise the listener
たてまつる【奉る】,たてまつる,奉る,"to offer, to present, to revere, to do respectfully"
つかさどる【司る】,つかさどる,司る,"to rule, to govern, to administer"
さかのぼる【遡る】,さかのぼる,遡る,"to go back, to go upstream, to make retroactive"
むかう【向かう】,むかう,向かう,to face
ゆらぐ【揺らぐ】,ゆらぐ,揺らぐ,"to swing, to sway, to shake, to tremble"
もとづく【基づく】,もとづく,基づく,"to be grounded on, to be based on, to be due to, to originate from "
あかす【明かす】,あかす,明かす,"to pass, spend, to reveal, to divulge"
いかす【生かす】,いかす,生かす,"to revive, to resuscitate, to make use of"
せかす【急かす】,せかす,急かす,"to hurry, to urge on"
とかす【溶かす】,とかす,溶かす,"to melt, to dissolve"
ぬかす【抜かす】,ぬかす,抜かす,"to omit, to leave out"
まかす【負かす】,まかす,負かす,to defeat
わかす【沸かす】,わかす,沸かす,"to boil, to heat"
こがす【焦がす】,こがす,焦がす,"to burn, to scorch, to singe, to char"
にがす【逃がす】,にがす,逃がす,"to let loose, to set free, to let escape"
はがす【剥がす】,はがす,剥がす,"to tear off, to peel off, to rip off, to strip off, to skin, to flay, to disrobe, to deprive of, to detach"
つくす【尽くす】,つくす,尽くす,"to exhaust, to run out, to serve (a person), to befriend"
なくす【無くす】,なくす,無くす,to lose something
なくす【亡くす】,なくす,亡くす,to lose someone
おこす【起こす】,おこす,起こす,"to raise, to cause, to wake someone"
よこす【寄こす】,よこす,寄こす,"to send, to forward"
すごす【過ごす】,すごす,過ごす,"to pass, to spend, to go through, to tide over"
はたす【果たす】,はたす,果たす,"to accomplish, to fulfill, to carry out, to achieve"
みたす【満たす】,みたす,満たす,"to satisfy, to ingratiate, to fill, to fulfill"
おとす【落とす】,おとす,落とす,"to drop, to lose, to let fall "
とばす【飛ばす】,とばす,飛ばす,"to skip over, to omit"
のばす【伸ばす】,のばす,伸ばす,"to lengthen, to stretch, to reach out, to grow (beard)"
のばす【延ばす】,のばす,延ばす,"to lengthen, to stretch, to reach out, to grow (beard)"
さます【覚ます】,さます,覚ます,to awaken
さます【冷ます】,さます,冷ます,"to cool, to dampen, to let cool"
すます【済ます】,すます,済ます,"to finish, to get it over with, to settle, to conclude, to pay back"
すます【澄ます】,すます,澄ます,"to clear, to make clear, to be unruffled, to look unconcerned, to look demure, look prim, put on airs"
はやす【生やす】,はやす,生やす,"to grow, to cultivate, to wear beard"
ひやす【冷やす】 ,ひやす,冷やす,"to cool, to refrigerate"
ふやす【増やす】,ふやす,増やす,"to increase, to add to, to augment "
ふやす【殖やす】,ふやす,殖やす,"to increase, to add to, to augment "
もやす【燃やす】,もやす,燃やす,to burn
あらす【荒らす】,あらす,荒らす,"to lay waste, to devastate, to damage, to invade, to break into "
くらす【暮らす】,くらす,暮らす,"to live, to get along"
そらす【逸らす】,そらす,逸らす,"to turn away, to avert "
ちらす【散らす】,ちらす,散らす,"to scatter, to disperse, to distribute"
てらす【照らす】,てらす,照らす,"to shine on, to illuminate"
ならす【鳴らす】,ならす,鳴らす,"to ring, to sound, to chime, to beat, to snort (nose)"
ならす【慣らす】,ならす,慣らす,to accustom
ならす【馴らす】,ならす,馴らす,"to domesticate, to tame"
ぬらす【濡らす】,ぬらす,濡らす,"to wet, to soak, to dip"
へらす【減らす】,へらす,減らす,"to abate, to decrease, to diminish, to shorten "
もらす【漏らす】,もらす,漏らす,"to let leak, to reveal"
ずらす【ずらす】,ずらす,ずらす,"to put off, to delay"
おろす【降ろす】,おろす,降ろす,"to take down, to launch, to drop "
あわす【合わす】,あわす,合わす,"to join together, to face, to unite, to be opposite, to combine, to connect"
かわす【交わす】,かわす,交わす,"to exchange (messages), to dodge, to parry, to avoid, to turn aside"
うかぶ【浮かぶ】,うかぶ,浮かぶ,"to float, to rise to surface, to come to mind"
くやむ【悔やむ】,くやむ,悔やむ,to mourn
おいる【老いる】,おいる,老いる,"to age, to grow old"
しいる【強いる】,しいる,強いる,"to force, to compel, to coerce"
うえる【植える】,うえる,植える,"to plant, to grow"
うえる【飢える】,うえる,飢える,to starve
おえる【終える】,おえる,終える,to finish
かえる【変える】,かえる,変える,to change
かえる【替える】,かえる,替える,"to exchange, to interchange, to substitute, to replace"
かえる【換える】,かえる,換える,"to exchange, to interchange, to substitute, to replace"
かえる【代える】,かえる,代える,"to exchange, to interchange, to substitute, to replace"
きえる【消える】,きえる,消える,to disappear
こえる【越える】,こえる,越える,"to exceed, to cross over, to cross "
こえる【超える】,こえる,超える,"to exceed, to cross over, to cross "
さえる【冴える】,さえる,冴える,"to be clear, to br serene, to be cold, to be skillful"
すえる【据える】,すえる,据える,"to set (table), to lay (foundation), to place (gun), to apply (moxa)"
そえる【添える】,そえる,添える,"to add to, to attach, to append, to accompany, to garnish, to imitate, to annex"
たえる【耐える】,たえる,耐える,"to bear, to endure"
たえる【絶える】,たえる,絶える,"to die out, to peter out, to become extinct "
たえる【堪える】,たえる,堪える,"to bear, to stand, to endure, to put up with, to support, to withstand, to resist, to brave, to be fit for"
にえる【煮える】,にえる,煮える,"to boil, to cook, to be cooked"
はえる【生える】,はえる,生える,"to grow, to spring up, to cut (teeth)"
はえる【映える】,はえる,映える,"to shine, to look attractive, to look pretty"
ひえる【冷える】,ひえる,冷える,to grow cold
ふえる【増える】,ふえる,増える,to increase
ふえる【殖える】,ふえる,殖える,"to increase, to multiply"
ほえる【吠える】,ほえる,吠える,"to bark, to bay, to howl, to bellow, to roar, to cry"
みえる【見える】,みえる,見える,to be in sight
もえる【燃える】,もえる,燃える,"to burn, to get fired up"
うかる【受かる】,うかる,受かる,to pass (examination)
かかる【掛かる】,かかる,掛かる,"to take (e.g. time, only, etc), to hang"
わかる【分かる】,わかる,分かる,to be understood
あがる【上がる】,あがる,上がる,"to enter, to go up, to rise, to climb up, to advance, to appreciate, to be promoted, to improve "
さがる【下がる】,さがる,下がる,"to hang down, to abate, to retire, to fall, to step back"
まがる【曲がる】,まがる,曲がる,"to turn, to bend"
あきる【飽きる】,あきる,飽きる,"to get tired of, to lose interest in, to have enough"
いきる【生きる】,いきる,生きる,to live
おきる【起きる】,おきる,起きる,to get up
つきる【尽きる】,つきる,尽きる,"to be used up, to be　run out, to be exhausted, to be consumed, to come to an end "
すぎる【過ぎる】,すぎる,過ぎる,to exceed
あける【開ける】,あける,開ける,to open
あける【明ける】,あける,明ける,"to dawn, to become　daylight"
いける【活ける】,いける,活ける,to arrange (flowers)
うける【受ける】,うける,受ける,to take a lesson or test
かける【掛ける】,かける,掛ける,to hang something
かける【欠ける】,かける,欠ける,to be lacking
かける【駆ける】,かける,駆ける,"to run (race esp. horse), to gallop, to canter "
かける【賭ける】,かける,賭ける,"to wager, to bet, to risk, to stake, to gamble "
さける【避ける】,さける,避ける,"to avoid (physical contact), o ward off, to avert "
さける【裂ける】,さける,裂ける,"to split, to tear, to burst"
つける【漬ける】,つける,漬ける,"to soak, to pickle "
つける【付ける】,つける,付ける,"to attach, to join, to add, to append"
つける【着ける】,つける,着ける,"to attach, to join, to add, to append"
つける【点ける】,つける,点ける,"to turn on, to switch on, to light up"
つける【浸ける）,つける,浸ける）,"to dip, to soak"
とける【解ける】,とける,解ける,"to come untied, to come apart"
とける【溶ける】,とける,溶ける,"to melt, to thaw, to fuse, to dissolve"
どける【退ける】,どける,退ける,"to remove, to take away, to dislodge, to put something out of the way"
ぬける【抜ける】,ぬける,抜ける,"to come out, to fall out, to be omitted"
ばける【化ける】,ばける,化ける,"o appear in disguise, to take the form of, to change for the worse"
ふける【更ける】,ふける,更ける,"to get late, to advance, to wear on"
ふける【老ける】,ふける,老ける,to age
まける【負ける】,まける,負ける,to lose
むける【向ける】,むける,向ける,"to turn towards, to point"
やける【焼ける】,やける,焼ける,"to burn, to be roasted"
わける【分ける】,わける,分ける,"to divide, to separate"
あげる【上げる】,あげる,上げる,to give
あげる【揚げる】,あげる,揚げる,"to lift, to fry"
あげる【挙げる】,あげる,挙げる,"to raise, to fly"
こげる【焦げる】,こげる,焦げる,"to burn, to be burned"
さげる【下げる】,さげる,下げる,"to hang, to lower, to move back"
つげる【告げる】,つげる,告げる,to inform
とげる【遂げる】,とげる,遂げる,"to accomplish, to achieve, to carry out"
なげる【投げる】,なげる,投げる,to throw or cast away 
にげる【逃げる】,にげる,逃げる,to escape
はげる【剥げる】,はげる,剥げる,"to come off, to be worn off, to fade, to discolor"
まげる【曲げる】,まげる,曲げる,"to bend, to crook, to lean"
おこる【起こる】,おこる,起こる,"to occur, to happen"
ささる【刺さる】,ささる,刺さる,"to stick, to be stuck"
なさる【為さる】,なさる,為さる,to do
まざる【混ざる】,まざる,混ざる,"to associate with, to mingle with, to join"
まざる【交ざる】,まざる,交ざる,"to be mixed, to be blended with, to associate with, to mingle with, to join"
とじる【閉じる】,とじる,閉じる,"to close (e.g. book, eyes), to shut "
とじる【綴じる】,とじる,綴じる,"to bind, to file"
はじる【恥じる】,はじる,恥じる,to feel ashamed
まじる【混じる】,まじる,混じる,"to be mixed, to be blended with, to associate with "
まじる【交じる】,まじる,交じる,"to be mixed, to be blended with, to associate with"
かする【化する】,かする,化する,"to change into, to convert into, to transform, to be"
きせる【着せる】,きせる,着せる,"to put clothes on (someone), to dress, to clothe, to cover, to coat"
のせる【乗せる】,のせる,乗せる,"to take on board, to give a ride "
のせる【載せる】,のせる,載せる,"to place on (something), to take on board. to give a ride"
みせる【見せる】,みせる,見せる,to show
やせる【痩せる】,やせる,痩せる,to become thin
よせる【寄せる】,よせる,寄せる,"to collect, to gather, to add, to put aside "
まぜる【混ぜる】,まぜる,混ぜる,"to mix, to stir"
まぜる【交ぜる】,まぜる,交ぜる,"to be mixed, to be blended with "
あたる【当たる】,あたる,当たる,"to be hit, to be successful, to be equivalent to"
おちる【落ちる】,おちる,落ちる,to fall or drop
おちる【落ちる】,おちる,落ちる,"to fail (e.g. exam), to fall down, to drop"
くちる【朽ちる】,くちる,朽ちる,to rot
みちる【満ちる】,みちる,満ちる,"to be full, to rise (tide), to mature, to expire"
あてる【当てる】,あてる,当てる,"to hit, to apply a patch"
あてる【宛てる】,あてる,宛てる,to address
すてる【捨てる】,すてる,捨てる,to throw away 
たてる【立てる】,たてる,立てる,to stand something up
たてる【建てる】,たてる,建てる,to build
はてる【果てる】,はてる,果てる,"to end, to be finished, to be exhausted, to die, to perish"
もてる【持てる】,もてる,持てる,"to be able to possess s (hold, get, etc.), to be well liked, to be popular, to endure"
なでる【撫でる】,なでる,撫でる,"to brush gently, to stroke"
ゆでる【茹でる】,ゆでる,茹でる,to boil 
かねる【兼ねる】,かねる,兼ねる,"to hold (position), to serve, to be unable"
はねる【跳ねる】,はねる,跳ねる,"to jump, to leap"
あびる【浴びる】,あびる,浴びる,"to bathe, to bask in he sun, to shower "
おびる【帯びる】,おびる,帯びる,"to wear (sword, decoration, etc.), to carry, to be entrusted (e.g. with a mission), to take on"
さびる【錆びる】,さびる,錆びる,"to rust, to become rusty"
のびる【伸びる】,のびる,伸びる,"to stretch, to extend, to make progress, to grow (beard, body height) "
のびる【延びる】,のびる,延びる,to be prolonged
わびる【詫びる】,わびる,詫びる,to apologize
たべる【食べる】,たべる,食べる,to eat
のべる【述べる】,のべる,述べる,"to state, to express, to mention "
きまる【決まる】,きまる,決まる,"to be decided, to be settled, to look good in (clothes)"
しまる【閉まる】,しまる,閉まる,"to close, to be closed"
そまる【染まる】,そまる,染まる,to dye
たまる【溜まる】,たまる,溜まる,"to collect, to gather, to save"
つまる【詰まる】,つまる,詰まる,"to be blocked, to be packed"
とまる【止まる】,とまる,止まる,to come to a halt
とまる【泊まる】,とまる,泊まる,to lodge at
とまる【留まる】,とまる,留まる,"to be fixed, to abide, to stay"
はまる【填まる】,はまる,填まる,"to get into, to go into, to fit, to be fit for, to suit, to fall into, to plunge into, to be deceived, to be"
しみる【染みる】,しみる,染みる,"to pierce, to permeate"
うめる【埋める】,うめる,埋める,"to bury, to fill up, to fill (a seat, a vacant position)"
きめる【決める】,きめる,決める,to decide
こめる【込める】,こめる,込める,"to include, to put into"
さめる【覚める】,さめる,覚める,"to wake, to wake up"
さめる【冷める】,さめる,冷める,"to become cool, to wear off, to abate, to subside"
しめる【閉める】,しめる,閉める,to close something
しめる【締める】,しめる,締める,to tie
しめる【占める】,しめる,占める,"to comprise, to account for, to make up, to hold, to occupy "
せめる【責める】,せめる,責める,"to condemn, to blame, to criticize"
せめる【攻める】,せめる,攻める,"to attack, to assault"
そめる【染める】,そめる,染める,"to dye, to colour"
ためる【溜める】,ためる,溜める,"to amass, to accumulate"
つめる【詰める】,つめる,詰める,"to pack, to shorten, to work out (details)"
とめる【留める】,とめる,留める,"to fasten, to turn off, to detain "
とめる【止める】,とめる,止める,to stop something
とめる【泊める】,とめる,泊める,"to give shelter to, to lodge "
なめる【嘗める】,なめる,嘗める,"to lick, to taste, to experience, to make fun of,  to make light of, to put down"
はめる【填める】,はめる,填める,"to get in, to insert, to put on, to make love"
ほめる【褒める】,ほめる,褒める,"to praise, to admire, to speak well"
もめる【揉める】,もめる,揉める,"to disagree, to dispute"
やめる【止める】,やめる,止める,to stop
やめる【辞める】,やめる,辞める,to retire
ほめる【ほめる】,ほめる,ほめる,to praise
つもる【積もる】,つもる,積もる,to pile up
おりる【降りる】,おりる,降りる,"to get off, to descend"
おりる【下りる】,おりる,下りる,"to get off, to descend"
かりる【借りる】,かりる,借りる,to borrow
こりる【懲りる】,こりる,懲りる,"to to learn by experience, to be disgusted with"
たりる【足りる】,たりる,足りる,to enough
いれる【入れる】,いれる,入れる,to put in
うれる【売れる】,うれる,売れる,to be sold
おれる【折れる】,おれる,折れる,to break or be folded
かれる【枯れる】,かれる,枯れる,"to wither, to die (plant), to be blasted (plant)"
かれる【涸れる】,かれる,涸れる,"to dry up, to run out"
きれる【切れる】,きれる,切れる,"to cut well, to be sharp, to break off"
くれる【暮れる】 ,くれる,暮れる,"to get dark, to come to an end"
くれる【呉れる】,くれる,呉れる,"to give, to let one have, to do for one, to be given"
すれる【擦れる】,すれる,擦れる,"to rub, to chafe, to wear, to become sophisticated"
それる【逸れる】,それる,逸れる,"to stray (turn) from subject, to get lost, to go astray"
たれる【垂れる】,たれる,垂れる,"to hang, to droop, to drop, to lower, to pull down, to dangle, to sag, to drip, to ooze, to trickle, to leave "
とれる【取れる】,とれる,取れる,"to come off, to be taken off, to be removed"
なれる【慣れる】,なれる,慣れる,to grow accustomed to
なれる【馴れる】,なれる,馴れる,"to become domesticated, to become tame"
ぬれる【濡れる】,ぬれる,濡れる,to get wet
はれる【晴れる】,はれる,晴れる,to be sunny
はれる【腫れる】,はれる,腫れる,"to swell (from inflammation), to be become swollen"
ふれる【触れる】,ふれる,触れる,"to touch, to be touched, to touch on a subject, to feel, to violate (law, copyright, etc.), to perceive, t"
もれる【漏れる】,もれる,漏れる,"to leak out, to escape, to come through, to shine through, to filter out, to be omitted"
ゆれる【揺れる】,ゆれる,揺れる,"to shake, to sway"
われる【割れる】,われる,割れる,to break
うわる【植わる】,うわる,植わる,to be planted
おわる【終わる】,おわる,終わる,"to finish, to close"
かわる【変わる】,かわる,変わる,to change
かわる【代わる】,かわる,代わる,"to take the place of, to relieve, to be substituted for, to be exchanged, to change places with, to take "
やっつける【やっ付ける】 ,やっつける,やっ付ける,to beat
ぶらさげる【ぶら下げる】 ,ぶらさげる,ぶら下げる,"to hang, to suspend, to dangle, to swing"
やりとげる【やり遂げる】 ,やりとげる,やり遂げる,to accomplish
そこなう【損なう】,そこなう,損なう,"to harm, to hurt, to injure, to damage, to fail in doing"
さからう【逆らう】,さからう,逆らう,"to go against, to oppose, to disobey, to defy"
あじわう【味わう】,あじわう,味わう,"to taste, to savor, to relish"
にぎわう【賑わう】,にぎわう,賑わう,"to prosper, to flourish, to do thriving business, to be crowded with people"
うごかす【動かす】,うごかす,動かす,"to move, to shift"
おどかす【脅かす】,おどかす,脅かす,"to threaten, to coerce "
かわかす【乾かす】,かわかす,乾かす,"to dry (clothes, etc), to desiccate"
ころがす【転がす】,ころがす,転がす,to roll
およぼす【及ぼす】,およぼす,及ぼす,"to exert, to cause, to exercise"
ほろぼす【滅ぼす】,ほろぼす,滅ぼす,"to destroy, to overthrow, to wreck, to ruin "
なやます【悩ます】,なやます,悩ます,"to afflict, to torment, to harass, to molest"
はげます【励ます】,はげます,励ます,"to encourage, to cheer, to raise (the voice)"
ついやす【費やす】,ついやす,費やす,"to spend, to devote, to waste "
おくらす【遅らす】,おくらす,遅らす,"to retard, to delay "
こごらす【凝らす】,こごらす,凝らす,"to freeze, to congeal"
もたらす【齎らす】,もたらす,齎らす,"to bring, to take, to bring about"
かなしむ【悲しむ】,かなしむ,悲しむ,"to be sad, to mourn for, to regret"
くるしむ【苦しむ】,くるしむ,苦しむ,"to suffer, to grain, to be worried"
したしむ【親しむ】,したしむ,親しむ,"to be intimate with, to befriend"
たのしむ【楽しむ】,たのしむ,楽しむ,to enjoy oneself
あからむ【赤らむ】,あからむ,赤らむ,"to become red, to redden, to blush"
あやぶむ【危ぶむ】,あやぶむ,危ぶむ,"to fear, to have misgivings, to be doubtful to mistrust"
ふくらむ【膨らむ】,ふくらむ,膨らむ,"to expand, to swell (out), to get big, to become inflated"
ひきいる【率いる】,ひきいる,率いる,"to lead, to spearhead (a group), to command (troops)"
もちいる【用いる】,もちいる,用いる,"to use, to make use of"
あたえる【与える】,あたえる,与える,"to give, to present, to award"
あまえる【甘える】,あまえる,甘える,"to behave like a spoiled child, to fawn on"
おさえる【押える】,おさえる,押える,"to stop, to restrain, to seize, to repress, to suppress, to press down"
おしえる【教える】,おしえる,教える,"to teach, to tell"
おびえる【怯える】,おびえる,怯える,"to become frightened, to have a nightmare"
おぼえる【覚える】,おぼえる,覚える,to remember
かかえる【抱える】,かかえる,抱える,to hold or carry under or in the arms
かぞえる【数える】,かぞえる,数える,to count
かなえる【叶える】,かなえる,叶える,"to grant (request, wish)"
かまえる【構える】,かまえる,構える,to set up
きたえる【鍛える】,きたえる,鍛える,"to forge, to drill, to temper, to train, to discipline"
くわえる【加える】,くわえる,加える,"to append, to sum up, to add up"
さかえる【栄える】,さかえる,栄える,"to prosper, to flourish"
こごえる【凍える】,こごえる,凍える,"to freeze, to be chilled, to be frozen"
ささえる【支える】,ささえる,支える,"to support, to hold, to maintain"
こたえる【答える】,こたえる,答える,to answer
そなえる【備える】,そなえる,備える,"to furnish, to provide for, to equip, to install"
そなえる【具える】,そなえる,具える,to be furnished with
そびえる【聳える】,そびえる,聳える,"to rise, to tower, to soar"
そろえる【揃える】,そろえる,揃える,"to put things in order, to arrange, to make uniform, to get something ready"
