Word,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16
軍,軍隊,軍事,軍人,軍艦,軍備,軍縮,海軍,軍団,軍部,軍服,軍勢,軍政,軍医,陸軍,軍国主義
兵,兵器,兵隊,兵士,歩兵,徴兵,兵役,将兵,兵力,兵員,砲兵,新兵,民兵,工兵,兵舎,核兵器
島,島国,島々,島根,島中,半島,島人,島外,島内,島民,島巡り,島山,島影,島伝い,島庁,島司
村,村落,村人,村民,村長,農村,漁村,山村,町村,農村風景,選手村,市町村,村議会,村々,村立,隣村
正門,部門,門,専門家,専門店,専門,名門,専門学校,校門,専門的,専門医,関門,専門用語,専門職,門戸,鳴門
戸,井戸,戸籍,瀬戸物,戸棚,雨戸,戸締まり,江戸,瀬戸,戸外,瀬戸際,一戸建て,戸別訪問,戸惑う,神戸,波止場
武器,武士,武装,武力,核武装,武道,武者,武将,武功,武具,武備,武家屋敷,偃武,講武,武威,武術
城,城下町,古城,牙城,根城,城壁,城外,城内,入城,居城,傾城,金城,築城,城郭,荒城,城下
布団,集団,座布団,団体,団扇,団結,劇団,公団,師団,団地,一団,楽団,暴力団,財団,団員,教団
直線,光線,線路,電線,新幹線,地平線,無線,脱線,沿線,下線,紫外線,放射線,車線,路線図,曲線,配線
建設,設定,設計,設備,設立,施設,設ける,設置,創設,新設,敷設,開設,建設的,設営,建設中,核施設
姿勢,大勢,勢い,情勢,優勢,勢力,形勢,態勢,国勢調査,体勢,攻勢,総勢,劣勢,威勢,気勢,時勢
総会,総合,総,総選挙,総裁,総額,総合的,総理,総勢,総数,総辞職,総計,総出,総員,総収入,総会屋
政党,与党,野党,党,党首,入党,党員,離党,党派,党大会,党利,党勢,結党,党務,復党,党内
歴史,女史,歴史的,史上,史学,日本史,歴史家,歴史小説,歴史上,世界史,古代史,歴史書,歴史認識,近代史,中世史,史跡
営業,経営,運営,営む,経営者,陣営,営利,市営,営業時間,営業部,直営店,経営難,営業活動,運営上,民営化,営団
政府,立法府,府県,幕府,州政府,中央政府,反政府,連邦政府,地元政府,都道府県,内閣府,総理府,府知事,府立,日本政府,無政府
巻く,取り巻く,渦巻き,竜巻,巻き物,巻き込む,巻末,巻き添え,巻き起こす,葉巻,巻き上げる,息巻く,渦巻く,寝巻き,鉢巻,巻き返し
紹介,介護,厄介,介入,仲介,介抱,お節介,一介,自己紹介,媒介,介する,紹介状,魚介類,介助,紹介文,介して
冷蔵庫,埋蔵,蔵書,所蔵,無尽蔵,貯蔵,冷蔵,土蔵,蔵,内蔵,酒蔵,蔵元,愛蔵,貯蔵庫,秘蔵,埋蔵金
