Phrase,Meaning
レストランで働いています,
日本に行ったら、したい仕事がありますか?,
お久しぶりです,
久しぶりに会った人とあいさつをすることができる,
はじめに、スクリプトを見ないで会話を聞きましょう,
どんな関係だと思いますか,
選びましょう,
友だち,
先輩と後輩,
知り合い,
あ、お久しぶりです。,
お久しぶりです。,
お元気ですか?,
はい。おかげさまで。,
あ、久しぶり。,
久しぶり。,
元気?,
うん。元気。,
あ、久しぶり。,
お久しぶりです。,
元気?,
はい。おかげさまで。,
日本に来てどのぐらいですか?,
身近な人に聞かれたとき、自分の近況を簡単に話すことができる,
