Orig,Verbs,Reading,Meaning
あう【合う】,合う,あう,to match
あう【遭う】,遭う,あう,"to meet, to encounter (undesirable nuance) "
いう【言う】,言う,いう,to say
おう【追う】,追う,おう,"to chase, to run after, to follow, to drive out, to be pressed (e.g. for time)"
おう【負う】,負う,おう,"to bear, to carry on one's back, to take responsibility, to owe, to be injured"
かう【買う】,買う,かう,to buy
かう【飼う】,飼う,かう,"to keep, to raise, to feed"
こう【請う】,請う,こう,"to ask, to request, to beg, to invite "
すう【吸う】,吸う,すう,"to smoke, to suck, to breathe in, to inhale "
そう【沿う】,沿う,そう,"to run along, to follow, to comply with"
そう【添う】,添う,そう,"to accompany, to become married, to comply with "
とう【問う】,問う,とう,"to ask, to inquire, to question, to charge, to accuse, without regard to (neg) "
ぬう【縫う】,縫う,ぬう,"to sew, to stitch, to weave one's way (e.g. through a crowd) "
はう【這う】,這う,はう,"to creep, to crawl"
まう【舞う】,舞う,まう,"to dance, to flutter about, to revolve "
よう【酔う】,酔う,よう,"to get drunk, to become"
あく【開く】,開く,あく,"to open, to become open"
あく【空く】,空く,あく,"to open, to become empty"
いく【行く】,行く,いく,to go
うく【浮く】,浮く,うく,"to float, to become merry, to become loose"
おく【置く】,置く,おく,to put
かく【書く】,書く,かく,to write
かく【描く】,描く,かく,"to draw, to paint, to sketch, to depict, to describe "
かく【掻く】,掻く,かく,"to scratch, to perspire"
かく【欠く】,欠く,かく,"to lack, to break, to crack, to chip "
かぐ【嗅ぐ】,嗅ぐ,かぐ,"to sniff, to smell"
きく【聞く】,聞く,きく,"to hear, to listen to, to ask"
きく【効く】,効く,きく,to be effective
こぐ【漕ぐ】,漕ぐ,こぐ,"to row, to scull, to pedal"
さく【咲く】,咲く,さく,to bloom
さく【裂く】,裂く,さく,"to tear, to split"
しく【敷く】,敷く,しく,"to spread out, to lay out"
たく【炊く】,炊く,たく,"to boil, to cook"
たく【焚く】,焚く,たく,"to burn, to kindle, to build a fire "
つく【着く】,着く,つく,to arrive at
つく【付く】,付く,つく,to be attached
つく【就く】,就く,つく,"to take (seat, position), to get (a job) "
つく【点く】,点く,つく,"to catch fire, (electricity) comes on "
つく【突く】,突く,つく,"(1) to thrust, to strike,(2) to poke "
つぐ【注ぐ】,注ぐ,つぐ,"to pour (into), to irrigate, to pay "
つぐ【次ぐ】,次ぐ,つぐ,"to rank next to, to come after "
つぐ【接ぐ】,接ぐ,つぐ,"to join, to pice together, to set (bones), to graft (tress)"
つぐ【継ぐ】,継ぐ,つぐ,to succeed
とく【解く】,解く,とく,"to unfasten, to solve"
とく【溶く】,溶く,とく,to dissolve (paint)
とく【説く】,説く,とく,"to explain, to advocate, to preach, to persuade "
どく【退く】,退く,どく,"(1) to retreat, to recede, to withdraw "
とぐ【研ぐ】,研ぐ,とぐ,"to sharpen, to grind, to scour, to hone, to polish, to wash(rice) "
なく【泣く】,泣く,なく,"to weep, to cry"
ぬく【抜く】,抜く,ぬく,"to extract, to omit, to surpass, to draw out, to unplug "
ぬぐ【脱ぐ】,脱ぐ,ぬぐ,to take off clothes
はく【履く】,履く,はく,"to wear, to put on (lower body) "
はく【吐く】,吐く,はく,"(1) to breathe out, to breathe (2) to tell (lies) (3) to vomit, to disgorge "
はく【掃く】,掃く,はく,"to sweep, to brush, to gather up "
はぐ【剥ぐ】,剥ぐ,はぐ,"to tear off, to peel off, to rip off, to strip off, to skin, to flay, to disrobe, to deprive of "
ひく【引く】,引く,ひく,to pull
ひく【弾く】,弾く,ひく,"to play an instrument with strings, including piano "
ひく【轢く】,轢く,ひく,"to run somebody over (with vehicle), to knock someone down "
ふく【吹く】,吹く,ふく,to blow
ふく【拭く】,拭く,ふく,"to wipe, to dry"
まく【巻く】,巻く,まく,"to wind, to coil, to roll"
まく【蒔く】,蒔く,まく,to sow (seeds)
まく【撒く】,撒く,まく,"to scatter, to sprinkle, to sow "
むく【向く】,向く,むく,to face
むく【剥く】,剥く,むく,"to peel, to skin, to pare, to hull "
やく【焼く】,焼く,やく,"to bake, to grill"
ゆく【行く】,行く,ゆく,to go
わく【沸く】,沸く,わく,"to boil, to grow hot, to get excited "
わく【湧く】,湧く,わく,"to boil, to grow hot, to get excited, to gush forth "
おす【押す】,押す,おす,"to push, to stamp something "
かす【貸す】,貸す,かす,to lend
けす【消す】,消す,けす,"to erase, to turn off power"
こす【越す】,越す,こす,"to go over (e.g. with audience), to cross over (e.g. mountain), to pass time (e.g. a winter)"
こす【超す】,超す,こす,"to cross, to pass, to tide over, to surpass"
さす【差す】,差す,さす,"to stretch out hands, to raise an umbrella"
さす【指す】,指す,さす,"to point, to nominate, to select someone, to identify, to indicate, to play a game, to move a piece"
さす【刺す】,刺す,さす,"to pierce, to stab, to prick, to thrust "
さす【挿す】,挿す,さす,"to insert, to put in, to graft, to wear in belt "
さす【注す】,注す,さす,"to pour (drink), to serve (drinks) "
さす【射す】,射す,さす,"to shine, to strike"
たす【足す】,足す,たす,"to add numbers, to add something, to top up with something"
だす【出す】,出す,だす,"to put out, to take out, to get out, to show, to submit, to publish, to send"
なす【為す】,為す,なす,"to accomplish, to do, to build up, to establish, to form"
ほす【干す】,干す,ほす,"to air, to dry, to desiccate, to drain (off), to drink up "
ます【増す】,増す,ます,"to increase, to grow"
むす【蒸す】,蒸す,むす,"to steam, to poultice, to be sultry "
めす【召す】,召す,めす,"to call, to send for, to put on, to wear, to take (a bath), to ride in, to buy, to eat, to drink"
よす【止す】,止す,よす,"to cease, to abolish, to resign, to give up "
うつ【打つ】,打つ,うつ,to hit
うつ【撃つ】,撃つ,うつ,"to attack, to defeat, to destroy "
うつ【討つ】,討つ,うつ,"to attack, to avenge"
かつ【勝つ】,勝つ,かつ,to win
たつ【立つ】,立つ,たつ,to stand
たつ【経つ】,経つ,たつ,"to pass, to lapse"
たつ【建つ】,建つ,たつ,"to erect, to be erected, to be built "
たつ【発つ】,発つ,たつ,"to depart (on a plane, train, etc.) "
たつ【絶つ】,絶つ,たつ,"to sever, to cut off, to suppress, to abstain (from) "
ぶつ【打つ】,打つ,ぶつ,"to hit, to strike"
まつ【待つ】,待つ,まつ,to wait
もつ【持つ】,持つ,もつ,to hold
しぬ【死ぬ】,死ぬ,しぬ,to die
とぶ【飛ぶ】,飛ぶ,とぶ,"to fly, to hop"
とぶ【跳ぶ】,跳ぶ,とぶ,"to jump, to fly, to leap"
よぶ【呼ぶ】,呼ぶ,よぶ,"to call out, to invite"
あむ【編む】,編む,あむ,to knit
うむ【産む】,産む,うむ,"to give birth, to deliver, to produce "
かむ【噛む】,噛む,かむ,"to bite, to chew"
くむ【組む】,組む,くむ,to put together
くむ【汲む】,汲む,くむ,"(1) to draw (water), to dip, to scoop, to pump"
くむ【酌む】,酌む,くむ,to serve sake
こむ【込む】,込む,こむ,to include
こむ【混む】,混む,こむ,to be crowded
すむ【住む】,住む,すむ,to live in
すむ【済む】,済む,すむ,to finish
すむ【澄む】,澄む,すむ,"to clear (e.g. weather), to become transparent"
つむ【積む】,積む,つむ,"to pile up, to stack"
とむ【富む】,富む,とむ,"to be rich, to become rich"
のむ【飲む】,飲む,のむ,to drink
ふむ【踏む】,踏む,ふむ,to step on
もむ【揉む】,揉む,もむ,"to rub, to crumple (up), to wrinkle "
やむ【止む】,止む,やむ,to stop
やむ【病む】,病む,やむ,"to fall ill, to be ill"
よむ【読む】,読む,よむ,to read
ある【有る】,有る,ある,"to be, to have(used for inanimate objects)"
ある【在る】,在る,ある,"to live, to be"
いる【居る】,居る,いる,"to be, to have (used for people and animals)"
いる【要る】,要る,いる,to need
いる【煎る】,煎る,いる,"to parch, to fry"
いる【炒る】,炒る,いる,"to roast, to parch, to toast, to boil down​"
いる【入る】,入る,いる,"to get in, to go in, to come in, to flow into, to set, to set in "
うる【売る】,売る,うる,to sell
うる【得る】,得る,うる,"to get, to gain, to win"
える【得る】,得る,える,"to get, to gain, to win"
おる【折る】,折る,おる,to break or to fold
おる【居る】,居る,おる,"to be (animate), to be, to exist "
おる【織る】,織る,おる,to weave
かる【刈る】,刈る,かる,"to cut (hair), to mow (grass), to harvest"
きる【切る】,切る,きる,to cut
きる【着る】,着る,きる,to put on from the shoulders down 
くる【来る】,来る,くる,to come
ける【蹴る】,蹴る,ける,to kick
さる【去る】,去る,さる,"to leave, to go away"
しる【知る】,知る,しる,to know
する【為る】,為る,する,to do
なす【為す】,為す,なす,to print
する【剃る】,剃る,する,to shave
そる【剃る】,剃る,そる,to shave
ちる【散る】,散る,ちる,"to fall, to scatter (e.g.blossoms)"
つる【釣る】,釣る,つる,to fish
つる【吊る】,吊る,つる,to hang
てる【照る】,照る,てる,to shine
でる【出る】,出る,でる,"to appear, to leave"
とる【取る】,取る,とる,to take something
とる【撮る】,撮る,とる,to take a photo or record a film 
とる【採る】,採る,とる,"(1) to adopt (measure, proposal), (2) to pick (fruit)"
とる【捕る】,捕る,とる,"to take, to catch (fish), to capture "
なる【鳴る】,鳴る,なる,to sound
なる【為る】,為る,なる,"to change, to be of use, to reach to "
なる【成る】,成る,なる,to become
なる【生る】,生る,なる,to bear fruit
にる【似る】,似る,にる,to be similar
にる【煮る】,煮る,にる,"to boil, to cook, to simmer, to stew"
ぬる【塗る】,塗る,ぬる,"to paint, to colour, to plaster "
ねる【寝る】,寝る,ねる,"to go to bed, to sleep"
ねる【練る】,練る,ねる,"to knead, to work over, to polish up "
のる【乗る】,乗る,のる,"to get on, to ride"
のる【載る】,載る,のる,"to appear (in print), to be recorded "
はる【貼る】,貼る,はる,to stick
はる【張る】,張る,はる,"to stick, to paste, to affix"
ふる【降る】,降る,ふる,"to fall, e.g. rain or snow"
ふる【振る】,振る,ふる,"(1) to wave, to shake, to swing,(2) to sprinkle,(3) to cast (actor), to allocate (work)"
へる【減る】,減る,へる,"to decrease (in size or number), to diminish, to abate "
へる【経る】,経る,へる,"to pass, to elapse, to experience "
ほる【掘る】,掘る,ほる,"to dig, to excavate"
ほる【彫る】,彫る,ほる,"to carve, to engrave, to sculpture, to chisel"
みる【観る】,観る,みる,"to see, to watch"
みる【見る】,見る,みる,"to see, to watch"
みる【診る】,診る,みる,to examine (medical)
もる【盛る】,盛る,もる,"(1) to serve (food, etc.),(2) to fill up,(3) to prescribe "
もる【漏る】,漏る,もる,"to leak, to run out"
よる【寄る】,寄る,よる,to visit
よる【因る】,因る,よる,"to be based on, to come from, to be due to, be caused by, to depend on"
やる【遣る】,遣る,やる,"to do, to have sexual intercourse, to kill, to give inferiors animals etc.), to dispatch"
わる【割る】,割る,わる,"to divide, to cut, to break, to halve "
おおう【覆う】,覆う,おおう,"to cover, to hide, to conceal, to wrap, to disguise "
におう【匂う】,匂う,におう,"to be fragrant, to smell, to stink "
ちかう【誓う】,誓う,ちかう,"to swear, to vow, to take an oath, to pledge "
つかう【使う】,使う,つかう,to use
ちがう【違う】,違う,ちがう,to differ
ねがう【願う】,願う,ねがう,"to desire, to wish, to request "
すくう【救う】,救う,すくう,"to rescue from, to help out of "
すくう【掬う】,掬う,すくう,"to scoop, to ladle out"
おそう【襲う】,襲う,おそう,to attack
さそう【誘う】,誘う,さそう,"(1) to invite, to ask,(2) to tempt, to lure, to induce"
うたう【歌う】,歌う,うたう,to sing
したう【慕う】,慕う,したう,"to yearn for, to miss, to adore, to love dearly "
やとう【雇う】,雇う,やとう,"to employ, to hire"
かなう【叶う】,叶う,かなう,to come true (wish)
になう【担う】,担う,になう,"to carry on shoulder, to bear (burden), to shoulder (gun) "
うばう【奪う】,奪う,うばう,to snatch away
かまう【構う】,構う,かまう,"to mind, to care about, to be concerned about "
たまう【給う】,給う,たまう,"to receive, to grant"
おもう【思う】,思う,おもう,"to think, to feel"
かよう【通う】,通う,かよう,to commute
あらう【洗う】,洗う,あらう,to wash
きらう【嫌う】,嫌う,きらう,"to hate, to dislike, to loathe "
さらう【拐う】,拐う,さらう,"to carry off, to run away with, to kidnap, to abduct"
ならう【習う】,習う,ならう,to learn
ならう【倣う】,倣う,ならう,"to imitate, to follow, to emulate"
ねらう【狙う】,狙う,ねらう,to aim at
はらう【払う】,払う,はらう,to pay
もらう【貰う】,貰う,もらう,to receive
わらう【笑う】,笑う,わらう,"to laugh, to smile"
くるう【狂う】,狂う,くるう,"to go mad, to get out of order "
そろう【揃う】,揃う,そろう,"to become complete, to be equal, to be all present, to gather"
ひろう【拾う】,拾う,ひろう,"o pick up, to gather"
いわう【祝う】,祝う,いわう,"to congratulate, to celebrate "
あおぐ【扇ぐ】,扇ぐ,あおぐ,"to fan, to flap"
あおぐ【仰ぐ】,仰ぐ,あおぐ,"to look up (to), to respect, to depend on, to ask for, to eek, to revere, to drink, to take "
えがく【描く】,描く,えがく,"to draw, to paint, to sketch, to depict, to describe "
みがく【磨く】,磨く,みがく,"to brush teeth, to polish"
なげく【嘆く】,嘆く,なげく,"to sigh, to lament, to grieve "
うごく【動く】,動く,うごく,to move
ふさぐ【塞ぐ】,塞ぐ,ふさぐ,"to stop up, to close up, to block (up)"
きずく【築く】,築く,きずく,"to build, to pile up, to amass "
すすぐ【濯ぐ】,濯ぐ,すすぐ,"to rinse, to wash out"
はじく【弾く】,弾く,はじく,"to flip, to snap"
かせぐ【稼ぐ】,稼ぐ,かせぐ,"to earn income, to labor "
ふせぐ【防ぐ】,防ぐ,ふせぐ,"to defend (against), to protect, to prevent"
いそぐ【急ぐ】,急ぐ,いそぐ,to hurry
そそぐ【注ぐ】,注ぐ,そそぐ,"to pour (into), to irrigate, to pay, to fill, to feed (e.g. a fire) "
のぞく【除く】,除く,のぞく,"to remove, to exclude, to except "
のぞく【覗く】,覗く,のぞく,"to peep in, to look in, to peek in, to stick out"
たたく【叩く】,叩く,たたく,"to strike, to clap, to dust, to beat "
くだく【砕く】,砕く,くだく,"to break, to smash"
またぐ【跨ぐ】,跨ぐ,またぐ,to straddle
つつく【突く】,突く,つつく,"1. to thrust, to strike, to attack2. to poke, to nudge, to pick at "
なつく【懐く】,懐く,なつく,to become emotionally attached 
つづく【続く】,続く,つづく,to be continued
かつぐ【担ぐ】,担ぐ,かつぐ,"to shoulder, to carry on shoulder "
とどく【届く】,届く,とどく,to reach
ほどく【解く】,解く,ほどく,to unfasten
つなぐ【繋ぐ】,繋ぐ,つなぐ,"to tie, to fasten, to connect, to transfer (phone call) "
まねく【招く】,招く,まねく,to invite
しのぐ【凌ぐ】,凌ぐ,しのぐ,"to outdo, to surpass, to endure, to keep out (rain), to stave off, to tide over, to pull through, to defy"
さばく【裁く】,裁く,さばく,to judge
ひびく【響く】,響く,ひびく,to resound
はぶく【省く】,省く,はぶく,"to omit, to eliminate, to curtail, to economize "
そむく【背く】,背く,そむく,"to run counter to, to go against, to disobey, to infringe "
およぐ【泳ぐ】,泳ぐ,およぐ,to swim
かわく【乾く】,乾く,かわく,to get dry
かわく【渇く】,渇く,かわく,to be thirsty
さわぐ【騒ぐ】,騒ぐ,さわぐ,"to make noise, to be excited "
ひらく【開く】,開く,ひらく,to open an event
あるく【歩く】,歩く,あるく,to walk
かえす【返す】,返す,かえす,to return something
かえす【帰す】,帰す,かえす,to send back
たおす【倒す】,倒す,たおす,"to throw down, to beat, to bring down, to blow down "
とおす【通す】,通す,とおす,"to let pass, to overlook, to continue "
なおす【直す】,直す,なおす,"to fix, to repair"
なおす【治す】,治す,なおす,"to cure, to heal, to fix, to correct, to repair "
おかす【犯す】,犯す,おかす,"to commit, to perpetrate, to violate, to rape "
おかす【侵す】,侵す,おかす,"to invade, to raid, to trespass, to violate, to intrude on "
まかす【任す】,任す,まかす,"to entrust, to leave to a person "
けがす【汚す】,汚す,けがす,"to disgrace, to dishonour "
さがす【探す】,探す,さがす,to look for
さがす【捜す】,捜す,さがす,"to search, to seek, to look for "
ながす【流す】,流す,ながす,"to drain, to float, to shed (blood, tears), to cruise (e.g. taxi)"
のがす【逃す】,逃す,のがす,"to let loose, to set free, to let escape "
かくす【隠す】,隠す,かくす,"to hide, to conceal"
やくす【訳す】,訳す,やくす,to translate
りゃくす【略す】,略す,りゃくす,to abbreviate
おこす【起す】,起す,おこす,to wake
のこす【残す】,残す,のこす,"to leave (behind, over), to bequeath, to save, to reserve "
よごす【汚す】,汚す,よごす,"(1) to disgrace, to dishonour,(2) to pollute, to contaminate, to soil, to make dirty, to stain "
くずす【崩す】,崩す,くずす,"to destroy, to pull down, to make change (money)"
はずす【外す】,外す,はずす,"to unfasten, to remove"
ひたす【浸す】,浸す,ひたす,"to soak, to dip, to drench"
わたす【渡す】,渡す,わたす,to hand over
みだす【乱す】,乱す,みだす,"to throw out of order, to disarrange, to disturb"
うつす【写す】,写す,うつす,to copy or photograph
うつす【移す】,移す,うつす,"to remove, to transfer, to infect"
うつす【映す】,映す,うつす,"to project, to reflect, to cast (shadow)"
おとす【落す】,落す,おとす,to drop
おどす【脅す】,脅す,おどす,"to threaten, to menace"
もどす【戻す】,戻す,もどす,"to restore, to put back, to return"
けなす【貶す】,貶す,けなす,to speak ill of
はなす【話す】,話す,はなす,to speak
はなす【離す】,離す,はなす,"to part, divide, separate"
はなす【放す】,放す,はなす,"to separate, to set free"
つぶす【潰す】,潰す,つぶす,"to smash, to waste"
こぼす【零す】,零す,こぼす,to spill
だます【騙す】,騙す,だます,"to trick, to cheat, to deceive"
しめす【示す】,示す,しめす,"to denote, to show, to point out, to indicate"
ためす【試す】,試す,ためす,"to attempt, to test"
しるす【記す】,記す,しるす,"to note, to write down"
つるす【吊す】,吊す,つるす,to hang
ゆるす【許す】,許す,ゆるす,"to permit, to allow, to approve, to forgive"
おろす【下す】,下す,おろす,"to lower, to let go down"
おろす【卸す】,卸す,おろす,"to sell wholesale, grated (vegetables)"
ころす【殺す】,殺す,ころす,to kill
こわす【壊す】,壊す,こわす,to break
まわす【回す】,回す,まわす,"to turn, to revolve"
そだつ【育つ】,育つ,そだつ,"to raise (child), to be brought up, to grow (up)"
たもつ【保つ】,保つ,たもつ,"to keep, to preserve, to hold, to retain, to maintain, to support, to sustain, to last, to endure"
うかぶ【浮ぶ】,浮ぶ,うかぶ,"to float, to rise to surface, to come to mind"
さけぶ【叫ぶ】,叫ぶ,さけぶ,"to shout, to cry"
はこぶ【運ぶ】,運ぶ,はこぶ,to transport
むすぶ【結ぶ】,結ぶ,むすぶ,"to tie, to bind, to link"
あそぶ【遊ぶ】,遊ぶ,あそぶ,"to play, to make a visit"
まなぶ【学ぶ】,学ぶ,まなぶ,"to study (in depth), to learn, to take lessons in"
およぶ【及ぶ】,及ぶ,およぶ,"to reach, to come up to, to amount to, to befall, to happen to, to extend, to match, to equal"
えらぶ【選ぶ】,選ぶ,えらぶ,to choose
ならぶ【並ぶ】,並ぶ,ならぶ,"to line up, to stand in a line"
ころぶ【転ぶ】,転ぶ,ころぶ,"to fall down, to fall over"
つかむ【掴む】,掴む,つかむ,"to seize, to catch, to grasp"
いがむ【歪む】,歪む,いがむ,"to warp, to swerve, to deflect, to be crooked, to be distorted, to be bent, to incline, to slant"
おがむ【拝む】,拝む,おがむ,"to worship, to beg, to make a supplication"
ふくむ【含む】,含む,ふくむ,"to hold in the mouth, to bear in mind"
めぐむ【恵む】,恵む,めぐむ,"to bless, to show mercy to"
はげむ【励む】,励む,はげむ,"to be zealous, to brace oneself, to endeavour, to strive, to make an effort "
かこむ【囲む】,囲む,かこむ,"to surround, to encircle"
へこむ【凹む】,凹む,へこむ,"to be dented, to be indented, to yield to, to give, to sink, to collapse,, to cave in, to be snubbed"
かさむ【嵩む】,嵩む,かさむ,"to pile up, to increase"
にくむ【憎む】,憎む,にくむ,"to hate, to detest"
はさむ【挟む】,挟む,はさむ,"to interpose, to hold between, to insert"
きざむ【刻む】,刻む,きざむ,"to mince, to carve, to engrave"
おしむ【惜しむ】,惜しむ,おしむ,"to be frugal, to value, to regret"
きしむ【軋む】,軋む,きしむ,"to jar, to creak, to grate"
にじむ【滲む】,滲む,にじむ,"to run, to blur, to spread, to blot, to ooze"
かすむ【霞む】,霞む,かすむ,"to grow hazy, to be misty"
すすむ【進む】,進む,すすむ,to make progress
ぬすむ【盗む】,盗む,ぬすむ,to steal
やすむ【休む】,休む,やすむ,to rest
しずむ【沈む】,沈む,しずむ,"to sink, to feel depressed"
すずむ【涼む】,涼む,すずむ,"to cool oneself, to cool off, to enjoy evening cool"
はずむ【弾む】,弾む,はずむ,"to spring, to bound, to bounce, to be stimulated, to be encourage, to get lively, to treat oneself to"
のぞむ【望む】,望む,のぞむ,"to desire, to wish for, to see, to command (a view of)"
のぞむ【臨む】,臨む,のぞむ,"to look out on, to face, to deal with, to attend (function)"
いたむ【痛む】,痛む,いたむ,"to hurt, to feel a pain, to be injured"
たたむ【畳む】,畳む,たたむ,to fold (clothes)
ねたむ【妬む】,妬む,ねたむ,"to be jealous, to be envious"
ちぢむ【縮む】,縮む,ちぢむ,"to shrink, to be contracted"
つつむ【包む】,包む,つつむ,to wrap
いどむ【挑む】,挑む,いどむ,"to challenge, to contend for, to make love to"
このむ【好む】,好む,このむ,"to like, to prefer"
たのむ【頼む】,頼む,たのむ,to ask (a favour)
はばむ【阻む】,阻む,はばむ,"to keep someone from doing, to stop, to prevent, to check, to hinder, to obstruct, to oppose, to thwart "
しぼむ【萎む】,萎む,しぼむ,"to wither, to fade (away), to shrivel, to wilt"
つまむ【摘む】,摘む,つまむ,"to pinch, to hold, to pick up"
なやむ【悩む】,悩む,なやむ,"to be worried, to be troubled"
あゆむ【歩む】,歩む,あゆむ,"to walk, to go on foot"
うらむ【恨む】,恨む,うらむ,"to curse, to feel bitter"
からむ【絡む】,絡む,からむ,"to entangle, to entwine"
にらむ【睨む】,睨む,にらむ,"to glare at, to scowl at, to keep an eye on"
たるむ【弛む】,弛む,たるむ,"to slacken, to loosen, to relax"
ゆるむ【緩む】,緩む,ゆるむ,"to become loose, to slacken "
はいる【入る】,入る,はいる,"to enter, to contain"
ほうる【放る】,放る,ほうる,to let go
かえる【帰る】,帰る,かえる,to go back
かえる【反る】,反る,かえる,"to warp, to be warped, to curve"
かえる【返る】,返る,かえる,"to return, to come back, to go back"
こおる【凍る】,凍る,こおる,"to freeze, to be frozen over, to congeal"
とおる【通る】,通る,とおる,to go through
なおる【直る】,直る,なおる,"to be fixed, to be repaired"
なおる【治る】,治る,なおる,"to be cured, to heal"
いかる【怒る】,怒る,いかる,"to get angry, to be angry"
かかる【罹る】,罹る,かかる,to suffer from
さかる【盛る】,盛る,さかる,"to prosper, to flourish, to copulate (animals)"
しかる【叱る】,叱る,しかる,to scold
はかる【計る】,計る,はかる,"to measure, to weigh, to survey"
はかる【量る】,量る,はかる,"to measure, to weigh, to survey"
はかる【測る】,測る,はかる,"to measure, to weigh, to survey"
はかる【諮る】,諮る,はかる,"to consult with, to confer"
はかる【図る】,図る,はかる,"to plot, to attempt, to plan, to take in, to deceive, to devise, to design"
ひかる【光る】,光る,ひかる,"to shine, to glitter"
あがる【上る】,上る,あがる,to rise
とがる【尖る】,尖る,とがる,"to taper to a point, to become sharp, to be sour, to look displeased (vi)"
かぎる【限る】,限る,かぎる,"to restrict, to limit, to confine"
ちぎる【契る】,契る,ちぎる,"to pledge, to promise, to swear "
にぎる【握る】,握る,にぎる,"to grasp, to hold a (thing) in one’s hand, grip"
おくる【送る】,送る,おくる,to send
おくる【贈る】,贈る,おくる,"to send, to give to, to award to, to confer on"
つくる【作る】,作る,つくる,to make
つくる【造る】,造る,つくる,"to make, to create, to manufacture, to draw up, to write, to compose, to build, to coin, to cultivate, to org "
くぐる【潜る】,潜る,くぐる,"(1) to drive, to pass through (2) to evade, to hide (3) to dive (into or under water), to go undergro"
さぐる【探る】,探る,さぐる,"to search, to look for, to sound out "
なぐる【殴る】,殴る,なぐる,"to strike, to hit"
めぐる【巡る】,巡る,めぐる,to go around
もぐる【潜る】,潜る,もぐる,"(1) to drive, to pass through,(2) to evade, to hide,(3) to dive (into or under water), to go underground"
しげる【茂る】,茂る,しげる,"to grow thick, to luxuriate, to be luxurious"
おこる【怒る】,怒る,おこる,"to get angry, to be angry "
のこる【残る】,残る,のこる,to remain
ほこる【誇る】,誇る,ほこる,"to boast of, to be proud of"
