Adverb①,Adjective②,Adjective③
無い,軽い,仕方無い
良い,優しい,厚い
多い,可愛い,親しい
高い,重い,暑い
大きい,可笑しい,幼い
悪い,明るい,相応しい
強い,痛い,久しい
少ない,赤い,有り難い
長い,短い,固い
新しい,暗い,物凄い
早い,遅い,懐かしい
甘い,弱い,丸い
若い,黒い,貧しい
欲しい,遠い,硬い
深い,薄い,著しい
近い,狭い,きつい
小さい,素晴らしい,怪しい
難しい,珍しい,煩い
凄い,寂しい,不味い
面白い,冷たい,温かい
広い,寒い,汚い
美しい,恐ろしい,素早い
白い,忙しい,望ましい
低い,細い,危ない
楽しい,恥ずかしい,悔しい
嬉しい,悲しい,柔らかい
酷い,宜しい,等しい
古い,濃い,大人しい
安い,苦しい,暖かい
美味しい,熱い,堅い
正しい,細かい,めでたい
詳しい,太い,軟らかい
激しい,偉い,浅い
怖い,速い,凄まじい
厳しい,鋭い,黄色い
辛い,青い,情けない
