"ア a","カ ka","サ sa","タ ta","ナ na","ハ ha","マ ma","ラ ra","ガ ga","ザ za","ダ da","バ ba","パ pa","ヤ ya","ワ wa"
"イ i","キ ki","シ shi","チ chi","ニ ni","ヒ hi","ミ mi","リ ri","ギ gi","ジ ji(zi)","ヂ di(zi)","ビ bi","ポ pi",,
"ウ u","ク ku","ス su","ツ tsu","ヌ nu","フ fu","ム mu","ル ru","グ gu","ズ zu","ヅ du(zu)","ブ bu","プ pu","ユ yu","ン n"
"エ e","ケ ke","セ se","テ te","ネ ne","ヘ he","メ me","レ re","ゲ ge","ゼ ze","デ de","べ be","ペ pe",,
"オ o","コ ko","ソ so","ト to","ノ no","ホ ho","モ mo","ロ ro","ゴ go","ゾ zo","ド do","ボ bo","ポ po","ヨ yo","ヲ wo"
,,,,,,,,,,,,,,
"リャ rya","ミャ mya","ヒャ hya","ニャ nya","チャ cha","シャ sha","キャ kya","ギャ gya","ジャ ja","ヂャ zya(dya)","ビャ bya","ピャ pya",,,
"リュ ryu","ミュ myu","ヒュ hyu","ニュ nyu","チュ chu","シュ shu","キュ kyu","ギュ gyu","ジュ ju","ヂュ zyu(dyu)","ビュ byu","ピュ pyu",,,
"リョ ryo","ミョ myo","ヒョ hyo","ニョ nyo","チョ cho","ショ sho","キョ kyo","ギョ gyo","ジュ jo","ヂョ zyo(dyo)","ビョ byo","ピョ pyo","ー elongated sound",,
