"人 person","一 one","学 learn","月 month","百 hundred","休 rest","間 interval","時 time","川 river","東 east"
"日 day","大 big","何 what","来 come","西 west","長 long","気 spirit","十 ten","聞 hear","語 language"
"年 year","出 exit","話 talk","山 mountain","千 thousand","下 below","女 woman","三 three","九 nine","円 yen"
"本 book","中 inside","高 high","今 now","右 right","母 mother","前 in front","入 enter","電 electricity","父 father"
"子 child","見 see","書 write","五 five","左 left","半 half","八 eight","水 water","天 sky","木 tree"
"国 country","上 above","名 name","金 gold","火 fire","毎 every","土 soil","北 north","読 read","車 car"
"分 part","生 life","男 man","外 outside","雨 rain","小 small","校 school","友 friend","南 south","食 eat"
"行 go","二 two","四 four","先 previous","午 noon","後 after","六 six","万 10 thousand","白 white","七 seven"
