"言 say","手 hand","主 chief","通 traffic","強 strong","使 use","社 shrine","知 know","味 taste","界 world"
"自 self","者 person","文 sentence","屋 roof","朝 morning","題 topic","理 logic","同 same","無 non","少 few"
"事 thing","思 think","業 work","持 hold","仕 official","京 capital","心 heart","発 departure","海 sea","切 cut"
"会 meeting","家 house","道 road","身 oneself","足 foot","品 article","作 make","新 new","重 heavy","集 collect"
"的 target","方 way","不 un","口 mouth","着 arrive","別 separate","世 world","度 degree","員 member","公 public"
"地 ground","目 eye","多 many","野 field","音 sound","元 origin","明 bright","力 power","画 picture","死 die"
"場 location","代 substitute","考 thought","開 open","特 special","風 wind","意 idea","用 task","安 cheap","親 parent"
"私 I","立 stand","教 teach","近 near","夜 night","空 sky","楽 enjoy","色 color","帰 return","歩 walk"
"物 object","田 rice field","以 by view of","問 question","有 exist","起 wake up","悪 bad","広 wide","店 shop","町 town"
"体 body","動 motion","正 correct","真 true","運 carry","料 material","住 reside","売 sell","待 wait","古 old"
