"あ a","か ka","さ sa","た ta","な na","は ha","ま ma","ら ra","が ga","ざ za","だ da","ば ba","ぱ pa","や ya","わ wa"
"い i","き ki","し shi","ち chi","に ni","ひ hi","み mi","り ri","ぎ gi","じ ji(zi)","ぢ di(zi)","び bi","ぴ pi",,
"う u","く ku","す su","つ tsu","ぬ nu","ふ fu","む mu","る ru","ぐ gu","ず zu","づ du(zu)","ぶ bu","ぷ pu","ゆ yu","ん n"
"え e","け ke","せ se","て te","ね ne","へ he","め me","れ re","げ ge","ぜ ze","で de","べ be","ぺ pe",,
"お o","こ ko","そ so","と to","の no","ほ ho","も mo","ろ ro","ご go","ぞ zo","ど do","ぼ bo","ぽ po","よ yo","を wo"
,,,,,,,,,,,,,,
"りゃ rya","みゃ mya","ひゃ hya","にゃ nya","ちゃ cha","しゃ sha","きゃ kya","ぎゃ gya","じゃ ja","ぢゃ zya(dya)","びゃ bya","ぴゃ pya",,,
"りゅ ryu","みゅ myu","ひゅ hyu","にゅ nyu","ちゅ chu","しゅ shu","きゅ kyu","ぎゅ gyu","じゅ ju","ぢゅ zyu(dyu)","びゅ byu","ぴゅ pyu",,,
"りょ ryo","みょ myo","ひょ hyo","にょ nyo","ちょ cho","しょ sho","きょ kyo","ぎょ gyo","じょ jo","ぢょ zyo(dyo)","びょ byo","ぴょ pyo","っ double consonant",,
